mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour,Robust_pTour_theoretic
1140963,1868247,3302343,3270719,2412369,2470451,23159295,15483582,1.0,3186517,3210390
1140963,1868247,3302343,3270719,2412369,2470451,23159295,15483582,1.25,3141859,3164866
1140963,1868247,3302343,3270719,2412369,2470451,21868597,15657709,0.25,5943042,3930673
1140963,1868247,3302343,3270719,2412369,2470451,21868597,15657709,0.5,4610225,3418654
1140963,1868247,3302343,3270719,2412369,2470451,21868597,15657709,0.75,3371897,3241544
1140963,1868247,3302343,3270719,2412369,2470451,21868597,15657709,1.0,3381184,3168526
1140963,1868247,3302343,3270719,2412369,2470451,21868597,15657709,1.25,3079298,3154756
1140963,1868247,3302343,3270719,2412369,2470451,223528,1956215,0.25,1943317,2392701
1140963,1868247,3302343,3270719,2412369,2470451,223528,1956215,0.5,1998227,2511400
1140963,1868247,3302343,3270719,2412369,2470451,223528,1956215,0.75,2137082,2656356
1140963,1868247,3302343,3270719,2412369,2470451,223528,1956215,1.0,2467523,2755854
1140963,1868247,3302343,3270719,2412369,2470451,223528,1956215,1.25,2597843,2802433
1140963,1868247,3302343,3270719,2412369,2470451,4544306,3961376,0.25,2856182,2845186
1140963,1868247,3302343,3270719,2412369,2470451,4544306,3961376,0.5,2664091,2857706
1140963,1868247,3302343,3270719,2412369,2470451,4544306,3961376,0.75,2675296,2892107
1140963,1868247,3302343,3270719,2412369,2470451,4544306,3961376,1.0,2732686,2934545
1140963,1868247,3302343,3270719,2412369,2470451,4544306,3961376,1.25,2857102,3005609
1140963,1868247,3302343,3270719,2412369,2470451,788149,2183387,0.25,2023397,2439937
1140963,1868247,3302343,3270719,2412369,2470451,788149,2183387,0.5,2089954,2551191
1140963,1868247,3302343,3270719,2412369,2470451,788149,2183387,0.75,2243301,2695702
1140963,1868247,3302343,3270719,2412369,2470451,788149,2183387,1.0,2452719,2793799
1140963,1868247,3302343,3270719,2412369,2470451,788149,2183387,1.25,2664867,2807182
1140963,1868247,3302343,3270719,2412369,2470451,24250193,14318279,0.25,6963617,4036372
1140963,1868247,3302343,3270719,2412369,2470451,24250193,14318279,0.5,4350849,3473101
